priority,tier,company,type,ginger_products,state,city,website,email,phone,whatsapp,contact_person,capacity,moq,grade_spec,certifications,price_published,status,note,verified
1,A,Illaj Ginger,Processor,"Powder; chips; strips; essential oil; oleoresin",Kaduna,Kachia,https://illajginger.com,contact@illajginger.com,+2348088883410,,,Own plant,,,RC 1970409,none,active,Only value-add processor on list; NADF backs this factory,2026-08-09
2,A,Enkay Indo Nigerian Industries Ltd,Processor,Dry split ginger,Lagos,Oshodi,https://enkayindo.com,info@enkayindo.com,+2348086664500,,,Sortex 20 MT/day; cleaning 140 MT/day,,,NEPC registered,none,active,Founded 2000; Dubai arm +97143523525,2026-08-09
3,A,Gum Arabic Company Nigeria Ltd (GACON),Processor,Dried split ginger,Lagos,Magodo GRA,https://gaconltd.com,gaconlimited@gmail.com,+2348033218432,,,,,,,none,active,Trading since 1996; posting on blight recovery May 2026,2026-08-09
4,A,Abans Company,Processor,ASTA Grade A dried split ginger,Kano,Kano Free Trade Zone,https://abanscompany.com,info@abanscompany.com,+2348035759945,,,,22 MT,ASTA Grade A; non-GMO; 40kg PP,,none,active,Kano origin - less blight damage than Kaduna,2026-08-09
5,A,Acier Limited,Processor,ASTA Grade A dried split ginger,Lagos,Ikeja,https://www.acierlimited.com,,+2348092311015,,,,22 MT,ASTA Grade A; 40kg PP; FOB/CIF/CFR,,none,active,16+ yrs; exhibited IFE Manufacturing 2025; no email published,2026-08-09
6,A,REFEM Millers Limited,Processor,Dried split ginger; dried ginger cuts,Lagos,Lagos,https://refem.com,sales@refem.com,+2348022905753,,,5000 MT/yr all products,,,,none,active,Site in 6 languages - genuinely targets EU buyers,2026-08-09
7,A,ZZExports (Zaph & Zoe Exports Ltd),Exporter,Split dried ginger (non-peeled),Lagos,Ojodu Berger,https://zzexports.com,info@zzexports.com,+2347010510915,,,7000 MT since 2017,,40-50kg PP; 40ft HC = 21 MT,NEPC; SGS; NAQS phyto; fumigation,none,active,Site claims 50000 MT/month - false; use their 7000 MT figure,2026-08-09
8,A,Agricorp International Development Ltd,Processor,Dried split ginger; turmeric; sesame; garlic,Kaduna,Kaduna + Lekki Lagos,agricorpinternational.com,info@agricorpinternational.com,+2348025977758,,Kenneth Obiajulu (CEO),5000 MT/yr plant; 0.5 MT/hour,,,,none,VERIFY,Site parked; staff down to 8; CEO moved to Zambia; may be dormant,2026-08-09
9,B,Icheel Agro Allied,Trader,Dried split ginger (FAQ + ASTA),Lagos,Abule Egba + Kano,https://icheelagroallied.com.ng,info@icheelagroallied.com.ng,+2348170010547,+2348023545583,,200 MT/month Nov-Apr (pre-blight claim),,FAQ and ASTA,,none,active,Own warehouse Dawanu Market Kano + separate Kaduna warehouse,2026-08-09
10,B,El-Olam Agro Allied Industries Ltd,Exporter,Fresh ginger; dry clean ginger,Ogun,Makogi,https://elolamagro.com.ng,uduak20042002@yahoo.com,+2348022900484,,,400 MT claimed,,40kg PP,NEPC 2016; GACC (China),none,dated,Only firm with China GACC registration; site stale since 2022,2026-08-09
11,B,Kweratz Global Trading Limited,Trader,Dry split ginger; ginger powder,FCT,Abuja + Dubai,https://kweratz.com,,,,Moshood Bello (Director),,,,,none,active,No email or phone published - web form only; use LinkedIn,2026-08-09
12,B,Renamy Global Resources Ltd,Broker,Dried split ginger (yellow),Lagos,not published,https://renamyglobal.com,,+2348054885543,+2348054885543,,,20 MT,Moisture <10%; impurities <2%; 25/50kg PP,,none,active,Heavy SEO operation; no address or company reg published,2026-08-09
13,B,Jamestown Farms Limited,Trader,Dried split ginger,Lagos,Apapa,https://jamestown-group.com,info@jamestown-group.com,+2349011111023,,,,,,,none,active,Apapa = at the port; aggregator not processor,2026-08-09
14,B,Harley-B Agro Limited,Broker,Dried split ginger,Lagos,Lagos,https://harleybagro.com,enquiries@harleybagro.com,+2347042446061,+2347042446061,,,,,LC from top-tier banks,none,active,Founded 2016; 3 staff; recruits sub-brokers,2026-08-09
15,B,Janiba Intercontinental Network Ltd,Producer,Premium ginger; dried split ginger,Kaduna,Kaduna,https://janibaintercontinentalnetwork.com,,,,,,,,RC 7160194,none,active,Affiliate Janiba Ginger Ltd is ginger-only; no contacts published,2026-08-09
16,C,Blueprintz Global Resources,Broker,Dried split ginger (41kg),Kaduna,Kafanchan,,,,,David Dogara Gaiya,,,41kg bags,,none,unverified,ExportHub listing only; no own site; in the Kaduna ginger belt,2026-08-09
17,C,JL Agro-Allied Services Ltd,Producer,Fresh; dried split (ASTA Gr.1); powdered,Kaduna,Kaduna,https://jlagroalliedservices.com,,,,,,,ASTA Grade 1,,none,stale,Founded 2014; last ginger post Dec 2022 - pre-blight; may be inactive,2026-08-09
18,C,Gombella,Trader,Dried split ginger,not published,not published,https://gombella.com,,,,,,,,,none,unverified,Not yet scraped; low priority,2026-08-09
19,C,Sulab Nexus,Trader,Dried split ginger,not published,not published,https://sulabnexus.com,,,,,,,,,none,unverified,Site blocks crawlers; low priority,2026-08-09
20,C,Belphins Nigeria Limited,Producer,Ginger products,Kaduna,Kaduna,belphins.tripod.com,belphins@inet-global.com,+2348035930573,,,,,,,none,defunct,Tripod-hosted site; listed only so it is not re-researched,2026-08-09
